epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3777.85,0.80362,0.59416,1.00117,0.88825,0.7151,0.81592,0.5551,1.35337,1.09583,1.20056,0.000643101,0.000643101,0.000643101
43,3868.33,0.80252,0.61019,1.00511,0.86877,0.69829,0.76531,0.48894,1.46058,1.26235,1.30259,0.000628101,0.000628101,0.000628101
44,3958.26,0.79648,0.59076,0.99464,0.85804,0.75532,0.81093,0.49097,1.39895,1.19752,1.22967,0.000612981,0.000612981,0.000612981
45,4049.41,0.78144,0.58866,0.99704,0.91149,0.74408,0.82949,0.53655,1.34707,1.07951,1.19637,0.000597754,0.000597754,0.000597754
46,4139.4,0.76452,0.58181,0.99032,0.76871,0.77974,0.82761,0.5355,1.43265,1.0642,1.28429,0.000582435,0.000582435,0.000582435
47,4229.45,0.77294,0.58614,0.99659,0.9282,0.69902,0.82828,0.5739,1.41045,1.14579,1.2368,0.00056704,0.00056704,0.00056704
48,4319.39,0.75796,0.56838,0.989,0.9317,0.71355,0.82677,0.55414,1.31733,1.06636,1.17176,0.000551584,0.000551584,0.000551584
49,4411.41,0.73562,0.54202,0.97821,0.88167,0.73207,0.83513,0.57399,1.30178,1.13794,1.21963,0.000536081,0.000536081,0.000536081
50,4502.53,0.74679,0.55949,0.98456,0.88761,0.71888,0.80959,0.55327,1.3407,1.25546,1.22435,0.000520548,0.000520548,0.000520548
51,4591.99,0.73398,0.54796,0.97963,0.87264,0.74846,0.8131,0.56637,1.3243,1.09668,1.20246,0.000505,0.000505,0.000505
52,4681.27,0.72629,0.53727,0.97637,0.87923,0.74714,0.8264,0.57329,1.3212,1.13233,1.18444,0.000489452,0.000489452,0.000489452
53,4770.67,0.72013,0.53634,0.96877,0.82194,0.79322,0.81394,0.56396,1.26655,1.06318,1.17005,0.000473919,0.000473919,0.000473919
54,4859.31,0.70439,0.52911,0.96827,0.84367,0.74425,0.83083,0.56725,1.3599,1.06958,1.25244,0.000458416,0.000458416,0.000458416
55,4948.87,0.70332,0.5129,0.96305,0.92594,0.71408,0.83419,0.55474,1.38058,1.06306,1.23074,0.00044296,0.00044296,0.00044296
56,5039.17,0.70643,0.52182,0.96651,0.86284,0.74705,0.82386,0.58315,1.33762,1.16385,1.1921,0.000427565,0.000427565,0.000427565
57,5129.02,0.69329,0.50239,0.96256,0.89367,0.72585,0.80786,0.54419,1.2641,1.14316,1.17683,0.000412246,0.000412246,0.000412246
58,5217.73,0.68854,0.51194,0.96248,0.91181,0.75144,0.82633,0.55326,1.28655,1.1756,1.16209,0.000397019,0.000397019,0.000397019
59,5307.34,0.69518,0.50907,0.95961,0.83946,0.74686,0.79224,0.57109,1.28194,1.08636,1.19767,0.000381899,0.000381899,0.000381899
60,5402.49,0.67433,0.4983,0.9584,0.92026,0.74039,0.82205,0.58009,1.29091,1.10325,1.20844,0.000366899,0.000366899,0.000366899
61,5491.87,0.67213,0.49517,0.95255,0.84227,0.76166,0.82169,0.59456,1.30283,1.11851,1.19192,0.000352037,0.000352037,0.000352037
62,5580.04,0.64932,0.47263,0.9419,0.86438,0.75691,0.81526,0.5804,1.33695,1.1113,1.22055,0.000337325,0.000337325,0.000337325
63,5668.17,0.6531,0.47904,0.95016,0.85955,0.74213,0.80981,0.58015,1.32612,1.08592,1.21171,0.000322778,0.000322778,0.000322778
64,5755.96,0.65362,0.47806,0.95387,0.85024,0.74443,0.81059,0.58218,1.24903,1.12026,1.15801,0.000308412,0.000308412,0.000308412
65,5844.37,0.65031,0.48238,0.94754,0.89849,0.73525,0.8072,0.57378,1.27533,1.057,1.18343,0.000294239,0.000294239,0.000294239
66,5933.86,0.65386,0.47134,0.94973,0.9325,0.70363,0.81246,0.59196,1.24498,1.17211,1.15558,0.000280275,0.000280275,0.000280275
67,6024.86,0.63168,0.46894,0.94062,0.87148,0.7401,0.8123,0.6049,1.29525,1.21191,1.18353,0.000266532,0.000266532,0.000266532
68,6115.15,0.63904,0.47016,0.94408,0.85695,0.7315,0.80773,0.59552,1.30194,1.16357,1.18288,0.000253024,0.000253024,0.000253024
69,6204.68,0.62898,0.46694,0.93976,0.89071,0.7429,0.82635,0.6055,1.28268,1.0843,1.1892,0.000239766,0.000239766,0.000239766
70,6294.54,0.61684,0.44829,0.93536,0.8719,0.74955,0.82166,0.60882,1.25472,1.10697,1.16226,0.000226769,0.000226769,0.000226769
71,6383.7,0.61164,0.45498,0.93815,0.89013,0.74952,0.81645,0.60228,1.2726,1.0796,1.19176,0.000214046,0.000214046,0.000214046
72,6473.17,0.60614,0.44038,0.93171,0.91058,0.73999,0.81675,0.58962,1.30617,1.08508,1.20404,0.000201611,0.000201611,0.000201611
73,6562.46,0.62055,0.44343,0.93712,0.90909,0.7551,0.82627,0.59539,1.3076,1.09492,1.22147,0.000189475,0.000189475,0.000189475
74,6652.86,0.59723,0.4401,0.92923,0.91389,0.74322,0.8175,0.59006,1.30979,1.14604,1.21145,0.000177651,0.000177651,0.000177651
75,6742.26,0.61399,0.44993,0.93159,0.9263,0.72436,0.8124,0.60431,1.27277,1.12471,1.1969,0.000166149,0.000166149,0.000166149
76,6832.29,0.5866,0.43248,0.932,0.92967,0.73006,0.82196,0.61322,1.26186,1.06834,1.1975,0.000154982,0.000154982,0.000154982
77,6921.8,0.57313,0.42956,0.92566,0.92135,0.73135,0.81908,0.61111,1.29147,1.09453,1.21303,0.000144161,0.000144161,0.000144161
78,7011.87,0.5868,0.43584,0.93717,0.9311,0.71853,0.81122,0.60436,1.27547,1.11741,1.18814,0.000133695,0.000133695,0.000133695
79,7101.55,0.58178,0.42939,0.93103,0.91255,0.72303,0.81539,0.59886,1.25124,1.08114,1.17888,0.000123596,0.000123596,0.000123596
80,7191.9,0.56726,0.41905,0.91967,0.91882,0.73887,0.82501,0.60923,1.24768,1.03665,1.17092,0.000113873,0.000113873,0.000113873
81,7281.75,0.57256,0.43387,0.9311,0.90769,0.74486,0.8326,0.61033,1.26356,1.05521,1.17173,0.000104537,0.000104537,0.000104537
82,7372.08,0.56456,0.41834,0.92416,0.92078,0.72706,0.82786,0.60358,1.24665,1.05143,1.16868,9.55951e-05,9.55951e-05,9.55951e-05
