bbox_out_sigmoid_loss,class_out_accuracy,class_out_loss,loss,val_bbox_out_sigmoid_loss,val_class_out_accuracy,val_class_out_loss,val_loss,learning_rate
0.019455455243587494,0.8445534706115723,0.6564686894416809,0.6781768202781677,0.02089569717645645,0.9944111704826355,0.1710188388824463,0.19508828222751617,0.0005000000237487257
0.00581392552703619,0.9941707849502563,0.08124808967113495,0.08706317842006683,0.011982847936451435,0.9944111704826355,0.06858683377504349,0.08183564245700836,0.0005000000237487257
0.002829175442457199,0.9941718578338623,0.04338821768760681,0.046253085136413574,0.00928915198892355,0.9944111704826355,0.04655124247074127,0.05676525458693504,0.0005000000237487257
0.001736217294819653,0.9941806793212891,0.03235378488898277,0.034106213599443436,0.00844399631023407,0.9944111704826355,0.03836293891072273,0.0477142333984375,0.0005000000237487257
0.0012389161856845021,0.9942934513092041,0.025615336373448372,0.026883743703365326,0.00844601821154356,0.9944111704826355,0.03333025053143501,0.04267461597919464,0.0005000000237487257
0.001097633270546794,0.9946041107177734,0.02073865383863449,0.021851813420653343,0.00880399253219366,0.9944111704826355,0.03156676143407822,0.04114478453993797,0.0005000000237487257
0.0016252193599939346,0.9949901103973389,0.017089789733290672,0.018739204853773117,0.008379596285521984,0.9944111704826355,0.02958901971578598,0.038826268166303635,0.0005000000237487257
0.002170431660488248,0.9953165054321289,0.014468882232904434,0.016650397330522537,0.00908430851995945,0.9944111704826355,0.028392368927598,0.03826463222503662,0.0005000000237487257
0.0023313970305025578,0.9956716299057007,0.01244962029159069,0.01478514913469553,0.009027265943586826,0.9944111704826355,0.027382830157876015,0.03724541515111923,0.0005000000237487257
0.002207075245678425,0.9960514903068542,0.01073605939745903,0.012949931435286999,0.008372433483600616,0.9944111704826355,0.026717526838183403,0.03592359647154808,0.0005000000237487257
0.0019842195324599743,0.9966421127319336,0.009178810752928257,0.011163519695401192,0.008972885087132454,0.9944111704826355,0.026875941082835197,0.036735646426677704,0.0005000000237487257
0.0025986270047724247,0.9969249963760376,0.008227895945310593,0.010830332525074482,0.00830940343439579,0.9944111704826355,0.02583286352455616,0.03510212153196335,0.0005000000237487257
0.002305117901414633,0.997245728969574,0.007306244689971209,0.009612705558538437,0.00829279888421297,0.9944111704826355,0.025515248998999596,0.034715935587882996,0.0005000000237487257
0.0018670776626095176,0.9976642727851868,0.006441068835556507,0.008304717019200325,0.007960216142237186,0.9944111704826355,0.02537432312965393,0.03429845720529556,0.0005000000237487257
0.002321853768080473,0.9978204369544983,0.005833948031067848,0.008154674433171749,0.007806751877069473,0.9944111704826355,0.026022419333457947,0.03482215106487274,0.0005000000237487257
0.0019330303184688091,0.9980934262275696,0.005278350785374641,0.007207520771771669,0.007968302816152573,0.9944111704826355,0.025914108380675316,0.03489471599459648,0.0005000000237487257
0.0016309116035699844,0.9984508156776428,0.0045456658117473125,0.006173643749207258,0.007598083466291428,0.9944111704826355,0.02544591762125492,0.03401601314544678,0.0005000000237487257
