epoch,bbox_out_loss,bbox_out_mse,class_out_accuracy,class_out_loss,learning_rate,loss,val_bbox_out_loss,val_bbox_out_mse,val_class_out_accuracy,val_class_out_loss,val_loss
0,0.039639052003622055,0.1560472697019577,0.381908118724823,1.2840098142623901,0.0005000000237487257,1.4408751726150513,0.0500667579472065,0.22052502632141113,0.3529411852359772,1.9251147508621216,2.1108736991882324
1,0.04185701161623001,0.15909908711910248,0.4886561930179596,0.9362905025482178,0.0005000000237487257,1.0947788953781128,0.054227422922849655,0.22910428047180176,0.3607843220233917,1.7752810716629028,2.0113842487335205
2,0.04172053188085556,0.16342425346374512,0.526759684085846,0.8092491626739502,0.0005000000237487257,0.9668852686882019,0.05446406826376915,0.22929257154464722,0.4313725531101227,1.6814279556274414,1.9118702411651611
3,0.03995491564273834,0.16603238880634308,0.5575915575027466,0.7329880595207214,0.0005000000237487257,0.8856360912322998,0.055504489690065384,0.2467455267906189,0.4000000059604645,1.785516619682312,2.0581140518188477
4,0.03893366456031799,0.1674821376800537,0.5570099949836731,0.6834638714790344,0.0005000000237487257,0.834017813205719,0.05780112370848656,0.24923518300056458,0.5254902243614197,1.822452187538147,2.082324266433716
5,0.0358390174806118,0.1664993315935135,0.5762071013450623,0.6112614274024963,0.0005000000237487257,0.7562417984008789,0.07340797781944275,0.2875699996948242,0.47058823704719543,2.957064628601074,3.2335054874420166
6,0.0350588895380497,0.16781529784202576,0.5855149030685425,0.6034740805625916,0.0005000000237487257,0.7468951344490051,0.06762256473302841,0.28286176919937134,0.4549020230770111,3.464387893676758,3.7380051612854004
7,0.0338982492685318,0.16776736080646515,0.5884235501289368,0.5728804469108582,0.0002500000118743628,0.7144529223442078,0.06191633269190788,0.2712177038192749,0.4901960790157318,3.0061638355255127,3.290127992630005
8,0.03292669355869293,0.16758133471012115,0.592204749584198,0.5492346882820129,0.0002500000118743628,0.6882497668266296,0.06880389899015427,0.28803393244743347,0.5176470875740051,3.8113367557525635,4.113046646118164
9,0.033014729619026184,0.16654059290885925,0.6099475622177124,0.5173781514167786,0.0002500000118743628,0.6572888493537903,0.06873183697462082,0.29191941022872925,0.4901960790157318,3.882843017578125,4.1925272941589355
10,0.03232937306165695,0.1670643836259842,0.5988946557044983,0.5235769748687744,0.0002500000118743628,0.6615476608276367,0.07181831449270248,0.2966967821121216,0.40784314274787903,4.864747047424316,5.159970760345459
