epoch,accuracy,grid_iou,learning_rate,loss,val_accuracy,val_grid_iou,val_loss
0,0.44678470492362976,0.015793252736330032,0.0010000000474974513,0.299804151058197,0.0021608644165098667,0.010331077501177788,1.3066359758377075
1,0.8095281720161438,0.02033405937254429,0.0010000000474974513,0.19501686096191406,0.007442976348102093,0.012379109859466553,0.58039790391922
2,0.9395144581794739,0.046574417501688004,0.0010000000474974513,0.13482747972011566,0.1504201591014862,0.026661023497581482,0.2560223937034607
3,0.9604614973068237,0.08124039322137833,0.0010000000474974513,0.10070712864398956,0.799639880657196,0.03474903479218483,0.12244904786348343
4,0.9649757146835327,0.10064934939146042,0.0010000000474974513,0.08476501703262329,0.9852941036224365,0.0055555556900799274,0.07660957425832748
5,0.96494460105896,0.10945725440979004,0.0010000000474974513,0.07599034160375595,0.901260495185852,0.02222222276031971,0.09890633821487427
6,0.9612094163894653,0.11803615838289261,0.0010000000474974513,0.07114430516958237,0.9876951575279236,0.0,0.08473090827465057
7,0.9659775495529175,0.13298627734184265,0.0010000000474974513,0.06649794429540634,0.9838535189628601,0.008695651777088642,0.08870062977075577
8,0.968880295753479,0.1657882183790207,0.0005000000237487257,0.060580700635910034,0.985474169254303,0.004608294926583767,0.09363369643688202
9,0.9716405868530273,0.18557880818843842,0.0005000000237487257,0.05711298808455467,0.987034797668457,0.005025125574320555,0.09599779546260834
