bbox_out_loss,class_out_categorical_accuracy,class_out_loss,loss,objectness_binary_accuracy,objectness_loss,val_bbox_out_loss,val_class_out_categorical_accuracy,val_class_out_loss,val_loss,val_objectness_binary_accuracy,val_objectness_loss,learning_rate,lr,epoch
0.10493965446949005,0.425159752368927,0.11747092753648758,0.40340015292167664,0.7629802823066711,0.06207411363720894,0.075919508934021,0.4378451108932495,0.11009816080331802,0.3253419101238251,0.9417667388916016,0.03425883501768112,0.0005000000237487257,0.0005000000237487257,1
0.06920973211526871,0.3095272183418274,0.058095354586839676,0.20194540917873383,0.9376030564308167,0.01621016301214695,0.06839685142040253,0.38586434721946716,0.11331679672002792,0.3006232678890228,0.9708283543586731,0.01580139622092247,0.0005000000237487257,0.0005000000237487257,2
0.058825165033340454,0.27866822481155396,0.04552629217505455,0.15966543555259705,0.9581554532051086,0.010730212554335594,0.0662914291024208,0.37702077627182007,0.09900553524494171,0.26386013627052307,0.9708283543586731,0.009764990769326687,0.0005000000237487257,0.0005000000237487257,3
0.05364445224404335,0.26564255356788635,0.03605268523097038,0.1352301836013794,0.9633322954177856,0.00904108863323927,0.0641220360994339,0.414535790681839,0.08292507380247116,0.22772762179374695,0.9708183407783508,0.007778190076351166,0.0005000000237487257,0.0005000000237487257,4
0.04954337701201439,0.25811514258384705,0.03228522464632988,0.12203656136989594,0.9654674530029297,0.008086653426289558,0.058633994311094284,0.3771408498287201,0.05662587285041809,0.17178119719028473,0.970718264579773,0.007167930249124765,0.0005000000237487257,0.0005000000237487257,5
0.045705586671829224,0.257447749376297,0.029269849881529808,0.10986460745334625,0.9667001962661743,0.007490523159503937,0.05330787971615791,0.33640456199645996,0.03565100580453873,0.12776245176792145,0.9705381989479065,0.007036770693957806,0.0005000000237487257,0.0005000000237487257,6
0.042321838438510895,0.25807270407676697,0.02594992332160473,0.10140347480773926,0.9674049615859985,0.006988044362515211,0.04700195789337158,0.3145158290863037,0.02465926669538021,0.10156212002038956,0.9701881408691406,0.006564032286405563,0.0005000000237487257,0.0005000000237487257,7
0.04021492972970009,0.2539691627025604,0.02367282845079899,0.09410017728805542,0.9679288268089294,0.006759072188287973,0.04336937516927719,0.28346338868141174,0.016771571710705757,0.08344440907239914,0.9703781008720398,0.006162906996905804,0.0005000000237487257,0.0005000000237487257,8
0.03812527656555176,0.25912413001060486,0.02247423678636551,0.08963828533887863,0.9681524634361267,0.006460340693593025,0.041386883705854416,0.2733793556690216,0.01282751839607954,0.07389339804649353,0.9702681303024292,0.005896848160773516,0.0005000000237487257,0.0005000000237487257,9
0.036190781742334366,0.2599234879016876,0.021169977262616158,0.08356421440839767,0.9684614539146423,0.006240161135792732,0.04028896987438202,0.26829731464385986,0.01241446565836668,0.07151438295841217,0.9706382751464844,0.005702164955437183,0.0005000000237487257,0.0005000000237487257,10
0.03443818911910057,0.2591063976287842,0.01885383017361164,0.07822030782699585,0.9688347578048706,0.006117267534136772,0.038657791912555695,0.2572929263114929,0.01049874909222126,0.06639205664396286,0.9705182313919067,0.005601181648671627,0.0005000000237487257,0.0005000000237487257,11
0.03321565315127373,0.26347723603248596,0.017847871407866478,0.07468657195568085,0.9688183069229126,0.005957531742751598,0.037768103182315826,0.2628651261329651,0.01093736756592989,0.06656051427125931,0.9706582427024841,0.005541207734495401,0.0005000000237487257,0.0005000000237487257,12
0.03198869526386261,0.2621987462043762,0.018137158825993538,0.07403719425201416,0.9690608978271484,0.00580820394679904,0.03658762574195862,0.2585434019565582,0.010808026418089867,0.06525928527116776,0.9709583520889282,0.005407648626714945,0.0005000000237487257,0.0005000000237487257,13
0.030880259349942207,0.26592618227005005,0.016337336972355843,0.0698331668972969,0.9691832661628723,0.005721454042941332,0.035465992987155914,0.26054421067237854,0.011090203188359737,0.06441657990217209,0.9710383415222168,0.005316541530191898,0.0005000000237487257,0.0005000000237487257,14
0.029615554958581924,0.2699791491031647,0.016136527061462402,0.06761161983013153,0.969383716583252,0.005652140360325575,0.03571642190217972,0.2651260197162628,0.012285487726330757,0.06741328537464142,0.9710884094238281,0.005263936705887318,0.0005000000237487257,0.0005000000237487257,15
0.029262326657772064,0.26844221353530884,0.0153820114210248,0.06526847183704376,0.9692811369895935,0.005556212272495031,0.034549448639154434,0.26350539922714233,0.011598870158195496,0.0647146925330162,0.9711184501647949,0.005164572037756443,0.0005000000237487257,0.0005000000237487257,16
0.028172429651021957,0.278141051530838,0.014185456559062004,0.06177366152405739,0.9694511890411377,0.005516860634088516,0.033986616879701614,0.2668367326259613,0.013734514825046062,0.06919607520103455,0.9712784886360168,0.005120656918734312,0.0005000000237487257,0.0005000000237487257,17
0.027799731120467186,0.2717130184173584,0.014358382672071457,0.061765994876623154,0.9695141911506653,0.005417915526777506,0.03345942497253418,0.2565526068210602,0.013149024918675423,0.0670696571469307,0.9715085625648499,0.005083494819700718,0.0005000000237487257,0.0005000000237487257,18
0.026586882770061493,0.2725839912891388,0.013186106458306313,0.05852500721812248,0.9696290493011475,0.0053703319281339645,0.03279736265540123,0.26159465312957764,0.012333362363278866,0.06488620489835739,0.9714285731315613,0.0050667524337768555,0.0005000000237487257,0.0002500000118743628,19
0.02599206753075123,0.2703462541103363,0.011868800967931747,0.05515400320291519,0.9695701003074646,0.005311788059771061,0.032917238771915436,0.26863744854927063,0.011749576777219772,0.06325455754995346,0.9715085625648499,0.005020821467041969,0.0002500000118743628,0.0002500000118743628,20
