bbox_out_loss,class_out_accuracy,class_out_loss,loss,val_bbox_out_loss,val_class_out_accuracy,val_class_out_loss,val_loss,learning_rate
0.045204080641269684,0.4083769619464874,1.3397877216339111,1.6184927225112915,0.04337884485721588,0.4647058844566345,1.3878830671310425,1.69905686378479,0.0005000000237487257
0.03722663223743439,0.5,1.0143465995788574,1.2805920839309692,0.03650261461734772,0.24117647111415863,2.2554547786712646,2.487071990966797,0.0005000000237487257
0.03224148973822594,0.5283595323562622,0.9103303551673889,1.1690608263015747,0.03232049569487572,0.4058823585510254,1.6784316301345825,1.9328444004058838,0.0005000000237487257
0.030438151210546494,0.5684991478919983,0.819774866104126,1.0727949142456055,0.024206476286053658,0.42941176891326904,0.9816715121269226,1.2641963958740234,0.0005000000237487257
0.028604183346033096,0.588568925857544,0.7612535953521729,1.0096486806869507,0.024514945223927498,0.47647058963775635,0.8288053870201111,1.1151514053344727,0.0005000000237487257
0.026998242363333702,0.6247818470001221,0.681907057762146,0.9252840280532837,0.028744719922542572,0.4470588266849518,0.958829402923584,1.2738016843795776,0.0005000000237487257
0.02656136266887188,0.6348167657852173,0.6255437135696411,0.8661529421806335,0.02650519460439682,0.4941176474094391,0.731769859790802,1.033673644065857,0.0005000000237487257
0.02558758296072483,0.6465968489646912,0.5917707681655884,0.8280805945396423,0.040518954396247864,0.39411765336990356,2.1829869747161865,2.514465570449829,0.0005000000237487257
0.0241207554936409,0.6684118509292603,0.5608789920806885,0.7939416766166687,0.03432765603065491,0.3705882430076599,1.968096137046814,2.3552730083465576,0.0005000000237487257
0.023886768147349358,0.6727748513221741,0.5362085700035095,0.7672671675682068,0.022340351715683937,0.5235294103622437,0.7925034165382385,1.0978739261627197,0.0005000000237487257
0.023539073765277863,0.6893543004989624,0.5032695531845093,0.7308890223503113,0.022179553285241127,0.529411792755127,0.6654859185218811,0.9657628536224365,0.0005000000237487257
0.022634664550423622,0.7041884660720825,0.4685705006122589,0.6920807361602783,0.021397702395915985,0.4882352948188782,0.9788214564323425,1.2970128059387207,0.0005000000237487257
0.021849751472473145,0.7006980776786804,0.4603137969970703,0.6811996102333069,0.021660784259438515,0.5,0.8045341968536377,1.1058158874511719,0.0005000000237487257
0.021573804318904877,0.7168411612510681,0.4274147152900696,0.6446431279182434,0.02033335343003273,0.4470588266849518,0.9990136623382568,1.3326359987258911,0.0005000000237487257
0.02099752426147461,0.7137870788574219,0.4015297293663025,0.6169130802154541,0.02007836289703846,0.4882352948188782,0.914846658706665,1.243948221206665,0.0005000000237487257
0.020847253501415253,0.7150959968566895,0.39008843898773193,0.6034453511238098,0.02074046991765499,0.48235294222831726,1.0194664001464844,1.3540947437286377,0.0005000000237487257
0.020596211776137352,0.7264397740364075,0.3724506199359894,0.581990122795105,0.020081652328372,0.5529412031173706,0.7206240296363831,1.0212370157241821,0.0002500000118743628
