epoch,bbox_out_loss,bbox_out_mse,class_out_accuracy,class_out_loss,learning_rate,loss,val_bbox_out_loss,val_bbox_out_mse,val_class_out_accuracy,val_class_out_loss,val_loss
0,0.04237203672528267,0.17342820763587952,0.347876638174057,0.5393686294555664,0.0005000000237487257,0.6227039098739624,0.10717489570379257,0.40116268396377563,0.2196078598499298,3.041872262954712,3.0716185569763184
1,0.03914697840809822,0.18341906368732452,0.3679465353488922,0.29964524507522583,0.0005000000237487257,0.3730373978614807,0.08335129171609879,0.3163936734199524,0.2862745225429535,2.2257001399993896,2.2593746185302734
2,0.03577869385480881,0.17631176114082336,0.37405478954315186,0.26039251685142517,0.0005000000237487257,0.3293405771255493,0.08079784363508224,0.2998799979686737,0.345098078250885,1.5843076705932617,1.7653205394744873
3,0.03524398058652878,0.17494359612464905,0.3260616958141327,0.27461087703704834,0.0005000000237487257,0.3409748077392578,0.07060839980840683,0.2989497184753418,0.3921568989753723,2.033780574798584,2.221242666244507
4,0.03548811748623848,0.17048613727092743,0.37230950593948364,0.25564122200012207,0.0005000000237487257,0.32508930563926697,0.06498470157384872,0.2945348918437958,0.3529411852359772,1.6835685968399048,1.8434689044952393
5,0.03673478960990906,0.16935861110687256,0.3667829930782318,0.260044127702713,0.0005000000237487257,0.332034707069397,0.05106109753251076,0.2565203905105591,0.4117647111415863,1.4006751775741577,1.5549100637435913
6,0.03884392976760864,0.16686692833900452,0.366201251745224,0.27765271067619324,0.0005000000237487257,0.35411718487739563,0.06830309331417084,0.2980925738811493,0.40784314274787903,0.7668989300727844,0.9377838373184204
7,0.03948010876774788,0.16440553963184357,0.3272251486778259,0.30325838923454285,0.0005000000237487257,0.3805505633354187,0.056765612214803696,0.23671314120292664,0.35686278343200684,1.0341869592666626,1.2325822114944458
8,0.03967874497175217,0.16313092410564423,0.3472949266433716,0.3074236810207367,0.0005000000237487257,0.38650524616241455,0.040688566863536835,0.1839289665222168,0.41568630933761597,0.572603166103363,0.6706618070602417
9,0.040890246629714966,0.15771380066871643,0.36561957001686096,0.27115222811698914,0.0005000000237487257,0.35295310616493225,0.04588935151696205,0.21156448125839233,0.4901960790157318,0.6627480983734131,0.7583355903625488
10,0.0415567047894001,0.15749317407608032,0.3673647344112396,0.2305905520915985,0.0005000000237487257,0.31339094042778015,0.05798952281475067,0.2532683312892914,0.46666666865348816,1.5986605882644653,1.8268489837646484
11,0.03862674534320831,0.1488526314496994,0.33566027879714966,0.23142027854919434,0.0005000000237487257,0.3082369267940521,0.0558592863380909,0.25803181529045105,0.25882354378700256,1.3647890090942383,1.593487024307251
12,0.039635758846998215,0.14644362032413483,0.33507856726646423,0.2927677035331726,0.0002500000118743628,0.3719671368598938,0.041988521814346313,0.19028285145759583,0.2980392277240753,0.6403903365135193,0.7791959047317505
13,0.03926488384604454,0.14127984642982483,0.3839441239833832,0.13233309984207153,0.0002500000118743628,0.2102878987789154,0.0381300151348114,0.19193516671657562,0.30980396270751953,0.6263023614883423,0.7451648712158203
