split,conf_threshold,mAP50,precision,recall,f1,n_dets,tp,fp,fn,ap50_dog,p_dog,r_dog,f1_dog,tp_dog,fp_dog,fn_dog,ap50_door,p_door,r_door,f1_door,tp_door,fp_door,fn_door,ap50_obstacle,p_obstacle,r_obstacle,f1_obstacle,tp_obstacle,fp_obstacle,fn_obstacle,ap50_person,p_person,r_person,f1_person,tp_person,fp_person,fn_person,ap50_stair,p_stair,r_stair,f1_stair,tp_stair,fp_stair,fn_stair
valid,0.10,0.4251,0.2439,0.5374,0.3355,1682,411,1271,351,0.3190,0.1994,0.4133,0.2690,62,249,88,0.4577,0.2597,0.5875,0.3602,94,268,66,0.4175,0.2415,0.6098,0.3460,100,314,64,0.4570,0.2634,0.5385,0.3538,98,274,84,0.4742,0.2556,0.5377,0.3465,57,166,49
valid,0.15,0.4217,0.2710,0.5251,0.3575,1481,401,1080,361,0.3164,0.2171,0.4067,0.2831,61,220,89,0.4523,0.2898,0.5687,0.3840,91,223,69,0.4087,0.2654,0.5793,0.3640,95,263,69,0.4570,0.2922,0.5330,0.3774,97,235,85,0.4743,0.2908,0.5377,0.3775,57,139,49
valid,0.20,0.4199,0.2960,0.5183,0.3768,1337,396,941,366,0.3137,0.2362,0.4000,0.2970,60,194,90,0.4529,0.3226,0.5625,0.4100,90,189,70,0.4088,0.2910,0.5732,0.3860,94,229,70,0.4534,0.3189,0.5275,0.3975,96,205,86,0.4708,0.3111,0.5283,0.3916,56,124,50
valid,0.25,0.4178,0.3189,0.5115,0.3928,1224,391,833,371,0.3138,0.2554,0.3933,0.3097,59,172,91,0.4459,0.3465,0.5500,0.4251,88,166,72,0.4088,0.3186,0.5732,0.4096,94,201,70,0.4531,0.3405,0.5220,0.4121,95,184,87,0.4673,0.3333,0.5189,0.4059,55,110,51
valid,0.30,0.4151,0.3362,0.5065,0.4041,1152,387,765,375,0.3073,0.2591,0.3800,0.3081,57,163,93,0.4461,0.3636,0.5500,0.4378,88,154,72,0.4053,0.3333,0.5671,0.4199,93,186,71,0.4494,0.3629,0.5165,0.4263,94,165,88,0.4676,0.3618,0.5189,0.4264,55,97,51
test,0.10,0.6074,0.2746,0.7274,0.3987,1512,424,1088,152,0.5019,0.2187,0.6034,0.3211,35,125,23,0.5348,0.2527,0.6765,0.3680,92,272,44,0.5593,0.3019,0.7399,0.4288,128,296,45,0.6945,0.2887,0.8119,0.4260,82,202,19,0.7466,0.3107,0.8056,0.4485,87,193,21
test,0.15,0.6021,0.3038,0.7107,0.4256,1329,412,917,164,0.5019,0.2465,0.6034,0.3500,35,107,23,0.5322,0.2752,0.6618,0.3888,90,237,46,0.5447,0.3447,0.6994,0.4618,121,230,52,0.6919,0.3152,0.8020,0.4525,81,176,20,0.7396,0.3373,0.7870,0.4722,85,167,23
test,0.20,0.5994,0.3269,0.7025,0.4462,1215,406,809,170,0.5019,0.2612,0.6034,0.3646,35,99,23,0.5331,0.3013,0.6691,0.4155,91,211,45,0.5371,0.3816,0.6705,0.4864,116,188,57,0.6853,0.3376,0.7822,0.4716,79,155,22,0.7396,0.3527,0.7870,0.4871,85,156,23
test,0.25,0.5936,0.3462,0.6886,0.4607,1120,395,725,181,0.5021,0.2846,0.6034,0.3867,35,88,23,0.5334,0.3237,0.6618,0.4348,90,188,46,0.5116,0.3934,0.6185,0.4809,107,165,66,0.6816,0.3514,0.7723,0.4830,78,144,23,0.7394,0.3778,0.7870,0.5105,85,140,23
test,0.30,0.5896,0.3611,0.6789,0.4715,1056,388,668,188,0.5025,0.3017,0.6034,0.4023,35,81,23,0.5213,0.3398,0.6397,0.4439,87,169,49,0.5070,0.4000,0.6012,0.4804,104,156,69,0.6817,0.3679,0.7723,0.4984,78,134,23,0.7356,0.3962,0.7778,0.5250,84,128,24
