,dog,door,obstacle,person,stair
dog,243.0,27.0,134.0,39.0,40.0
door,27.0,197.0,48.0,55.0,79.0
obstacle,134.0,48.0,386.0,100.0,77.0
person,39.0,55.0,100.0,283.0,112.0
stair,40.0,79.0,77.0,112.0,285.0
