metric,before,after,delta
mean_objects_per_image,1.9118993135011442,1.8666666666666667,-0.045232646834477475
median_objects_per_image,2.0,2.0,0.0
mean_iou_neighbors,0.04722795399547266,0.048147960685576884,0.0009200066901042248
