Category,Count,Area_mean,Area_median,Ratio_mean,Ratio_std
dog,545,52706.77,40734.69,1.13,0.5
door,545,79889.93,77075.22,0.49,0.24
obstacle,561,55808.83,47798.67,0.75,0.38
person,545,67699.21,56426.65,0.55,0.25
stair,548,69268.01,61605.68,1.27,0.59
