epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.8308,1.59449,2.69818,1.51757,0.54115,0.42888,0.43021,0.22711,1.67479,1.79356,1.53269,0.000369115,0.000369115,0.000369115
2,98.4661,1.54946,1.88957,1.50224,0.57226,0.44182,0.46536,0.26028,1.64939,1.74948,1.56243,0.000737443,0.000737443,0.000737443
3,137.123,1.52926,1.84848,1.48775,0.5348,0.31253,0.34862,0.17835,1.80719,2.22706,1.67417,0.00109778,0.00109778,0.00109778
4,175.958,1.5136,1.80502,1.4809,0.56522,0.45867,0.49108,0.27781,1.628,1.71306,1.54784,0.00108408,0.00108408,0.00108408
5,214.269,1.47461,1.73235,1.45591,0.66592,0.48634,0.54257,0.30998,1.58213,1.55039,1.45203,0.00106345,0.00106345,0.00106345
6,252.569,1.44059,1.67482,1.43293,0.63063,0.48871,0.541,0.30682,1.59277,1.60225,1.49437,0.00103732,0.00103732,0.00103732
7,290.622,1.41122,1.61559,1.41266,0.68933,0.51787,0.58254,0.34362,1.48306,1.45992,1.4094,0.00100597,0.00100597,0.00100597
8,328.872,1.39533,1.58309,1.40071,0.68241,0.53087,0.59296,0.35112,1.45257,1.39328,1.38951,0.000969744,0.000969744,0.000969744
9,366.79,1.37687,1.54126,1.38492,0.70326,0.55099,0.62036,0.37785,1.409,1.352,1.3511,0.00092904,0.00092904,0.00092904
10,405.268,1.35606,1.50744,1.37776,0.66204,0.57137,0.62197,0.38125,1.39173,1.41019,1.3657,0.000884305,0.000884305,0.000884305
11,443.487,1.33135,1.47493,1.36267,0.74133,0.56086,0.64709,0.40127,1.36737,1.3078,1.34159,0.000836028,0.000836028,0.000836028
12,481.172,1.33295,1.4617,1.35743,0.72287,0.58037,0.66048,0.41252,1.33535,1.20117,1.29187,0.000784738,0.000784738,0.000784738
13,519.224,1.30062,1.41344,1.33607,0.74668,0.60117,0.67268,0.42493,1.32021,1.19523,1.30691,0.000730997,0.000730997,0.000730997
14,557.057,1.29578,1.39295,1.33192,0.74383,0.59393,0.67412,0.42635,1.31611,1.16968,1.30022,0.000675395,0.000675395,0.000675395
15,595.369,1.28094,1.37129,1.32396,0.75275,0.61511,0.69262,0.43734,1.29562,1.14972,1.26742,0.00061854,0.00061854,0.00061854
16,633.474,1.2624,1.32795,1.31426,0.7596,0.61871,0.70486,0.45069,1.27682,1.14374,1.27071,0.000561055,0.000561055,0.000561055
17,671.859,1.24651,1.30667,1.30251,0.75044,0.63651,0.70748,0.459,1.25008,1.11291,1.24308,0.00050357,0.00050357,0.00050357
18,709.852,1.24599,1.30217,1.30518,0.76238,0.65227,0.72433,0.47505,1.23452,1.04479,1.23732,0.000446715,0.000446715,0.000446715
19,748.308,1.2279,1.27739,1.29351,0.78822,0.64844,0.73084,0.48136,1.22148,1.01112,1.21537,0.000391113,0.000391113,0.000391113
20,786.225,1.20325,1.24374,1.28028,0.77021,0.65286,0.73522,0.48309,1.22088,0.99846,1.21619,0.000337372,0.000337372,0.000337372
21,825.067,1.12455,1.05204,1.23356,0.77901,0.67509,0.74325,0.49933,1.1721,0.98515,1.19882,0.000286083,0.000286083,0.000286083
22,862.842,1.08975,0.97898,1.21249,0.82937,0.67241,0.75851,0.50857,1.1662,0.94193,1.18449,0.000237805,0.000237805,0.000237805
23,900.55,1.07065,0.94014,1.20276,0.82475,0.68504,0.76595,0.51219,1.15636,0.91968,1.17721,0.00019307,0.00019307,0.00019307
24,938.315,1.05142,0.89579,1.18847,0.83125,0.6845,0.77302,0.52521,1.13107,0.88803,1.1605,0.000152366,0.000152366,0.000152366
25,976.246,1.02802,0.87363,1.17639,0.8254,0.69852,0.7806,0.53219,1.12173,0.87205,1.15996,0.00011614,0.00011614,0.00011614
26,1014.26,1.01818,0.85567,1.16796,0.8343,0.69654,0.78208,0.53363,1.11197,0.8655,1.14838,8.47887e-05,8.47887e-05,8.47887e-05
27,1052.27,1.0092,0.83987,1.16356,0.83772,0.69677,0.78732,0.53714,1.11499,0.85694,1.14831,5.86552e-05,5.86552e-05,5.86552e-05
28,1090.3,1.00293,0.83403,1.15911,0.83006,0.70206,0.78709,0.53888,1.107,0.8476,1.14349,3.80262e-05,3.80262e-05,3.80262e-05
29,1128.02,0.9993,0.82346,1.15654,0.83705,0.69906,0.7855,0.54116,1.09719,0.8478,1.14132,2.31276e-05,2.31276e-05,2.31276e-05
30,1166.31,0.98908,0.82034,1.15142,0.83864,0.69849,0.78614,0.54059,1.09604,0.8432,1.13954,1.41227e-05,1.41227e-05,1.41227e-05
