epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5432.8,1.7098,3.55728,0.02688,0.70926,0.59424,0.64706,0.31947,1.83868,3.05425,0.04074,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,5612.83,1.69448,3.56834,0.02672,0.7497,0.56064,0.64997,0.33898,1.79059,2.72229,0.03899,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,5789.28,1.66668,3.41284,0.02612,0.75662,0.62677,0.7114,0.37907,1.73538,2.8353,0.03772,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,5969.98,1.72997,3.48893,0.02672,0.66888,0.64548,0.67936,0.3808,1.745,2.95765,0.03747,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,6152.83,1.6962,3.543,0.02687,0.83303,0.53667,0.6494,0.33418,1.84656,3.2969,0.03994,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,6328.92,1.70118,3.45562,0.0257,0.71258,0.61326,0.65471,0.3543,1.80599,3.02016,0.04009,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,6508.51,1.67146,3.47043,0.0258,0.70555,0.59507,0.62913,0.33701,1.76193,3.09708,0.03882,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,6690.01,1.67086,3.38661,0.02576,0.75131,0.61744,0.66079,0.33121,1.73915,2.87839,0.03733,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,6863.33,1.67272,3.45166,0.02619,0.76731,0.61572,0.65882,0.36243,1.75473,2.94271,0.0381,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,7039.41,1.63999,3.26512,0.02534,0.70705,0.5915,0.61781,0.33602,1.7545,2.9295,0.03838,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,7213.47,1.6527,3.3118,0.02534,0.8108,0.56546,0.65278,0.326,1.7604,3.29625,0.03744,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,7395.4,1.64456,3.32215,0.0253,0.70483,0.6147,0.65394,0.35835,1.65832,3.06951,0.03507,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
