Category,Count,Area_mean,Area_median,Ratio_mean,Ratio_std
dog,485,38819.12,11056.0,1.04,0.5
door,541,60072.54,37585.25,0.44,0.22
obstacle,882,39128.28,19167.99,0.75,0.38
person,592,47895.17,32768.83,0.5,0.26
stair,509,59968.08,39005.87,1.21,0.52
