name,family,variant,imgsz,batch,num_classes,val_mAP50,val_mAP50_95,val_precision,val_recall,val_f1,test_mAP50,test_precision,test_recall,test_f1,tflite_mb,tflite_ok,tflite_agreement,tflite_ms,train_time_min,total_epochs
yolo11n_v0-2,YOLO11,yolo11n,224,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6784610748291016,True,0.0,5.706723874027375,1.5801417827606201,1
MBNTv2_ssdlite_v0,MobileNetV2,MobileNetV2_SSDLite,224,16,5,0.009232883000581064,0.0,0.10500060737970167,0.00864104513830041,0.01596799919700634,0.009355973755848623,0.10566744999641028,0.008515971359156563,0.01576167342462102,2.8595504760742188,True,0.87,3.137244937761352,9.2,4
MBNTv3S_ssdlite_v0,MobileNetV3,MobileNetV3S_SSDLite,224,12,5,0.010829286114307946,0.0,0.10004618721709457,0.00991449690980217,0.01804113045806519,0.010936890306884049,0.10109804042506924,0.010172063247229617,0.018484310430443986,0.750396728515625,True,0.5466666666666666,0.6944688335958441,5.189439598719279,4
