Category,Count,Area_mean,Area_median,Ratio_mean,Ratio_std
dog,1256,64625.01,35662.5,4.54,11.48
door,4724,89271.71,78081.5,0.57,4.35
obstacle,7470,52906.91,27156.0,2.07,9.33
person,4215,31314.21,15867.0,1.28,5.25
stair,2889,188733.66,166793.0,1.17,0.69
