epoch,accuracy,grid_iou,learning_rate,loss,val_accuracy,val_grid_iou,val_loss
0,0.44854775071144104,0.01648324728012085,0.0010000000474974513,0.298545777797699,0.12340936064720154,0.014794685877859592,0.33953890204429626
1,0.8692212700843811,0.04244204983115196,0.0010000000474974513,0.16839200258255005,0.7022808790206909,0.030737705528736115,0.1686135083436966
2,0.9550122022628784,0.0658358782529831,0.0010000000474974513,0.11122755706310272,0.8070827722549438,0.017289074137806892,0.13652685284614563
3,0.9647130370140076,0.08924578130245209,0.0010000000474974513,0.08678464591503143,0.934753954410553,0.027272727340459824,0.10669992119073868
4,0.9624603986740112,0.10513860732316971,0.0010000000474974513,0.07712279260158539,0.937635064125061,0.026607539504766464,0.08709554374217987
5,0.9605236649513245,0.11418832838535309,0.0010000000474974513,0.07120392471551895,0.9888955354690552,0.0,0.09223848581314087
6,0.9632884860038757,0.13011513650417328,0.0010000000474974513,0.06541421264410019,0.9888955354690552,0.0,0.08873527497053146
7,0.9666541218757629,0.14679287374019623,0.0010000000474974513,0.06184700131416321,0.9418367147445679,0.010416666977107525,0.09759953618049622
8,0.9704117178916931,0.18055135011672974,0.0005000000237487257,0.05748409777879715,0.9812124967575073,0.0037878789007663727,0.09882555902004242
9,0.9719656109809875,0.19379962980747223,0.0005000000237487257,0.05508716031908989,0.9860144257545471,0.004566209856420755,0.11563726514577866
