bbox_out_loss,class_out_accuracy,class_out_loss,loss,val_bbox_out_loss,val_class_out_accuracy,val_class_out_loss,val_loss,learning_rate
0.03913410007953644,0.36125659942626953,1.3335278034210205,1.6230064630508423,0.03216702863574028,0.4431372582912445,1.0977811813354492,1.3957433700561523,0.0005000000237487257
0.034946687519550323,0.4066317677497864,1.1038835048675537,1.384170413017273,0.027621537446975708,0.458823561668396,1.0346490144729614,1.3278989791870117,0.0005000000237487257
0.03297153115272522,0.43571847677230835,0.9574893116950989,1.2299609184265137,0.026058927178382874,0.41568630933761597,0.8762290477752686,1.1648223400115967,0.0005000000237487257
0.031131761148571968,0.4488074779510498,0.8639937043190002,1.1319328546524048,0.025052592158317566,0.40784314274787903,0.8719342350959778,1.1675478219985962,0.0005000000237487257
0.029665304347872734,0.4552064836025238,0.7981315851211548,1.060307502746582,0.02661840058863163,0.41568630933761597,0.8258185386657715,1.1010617017745972,0.0005000000237487257
0.02842232957482338,0.4848749339580536,0.7409734129905701,0.9983911514282227,0.026149088516831398,0.4117647111415863,0.7507224678993225,1.0279139280319214,0.0005000000237487257
0.027396049350500107,0.5119256377220154,0.6731852293014526,0.9262570738792419,0.026938868686556816,0.37254902720451355,0.9429963231086731,1.217397928237915,0.0005000000237487257
0.026150427758693695,0.5174520015716553,0.6291559934616089,0.8775317072868347,0.02652987651526928,0.3764705955982208,0.984373152256012,1.2540011405944824,0.0002500000118743628
0.02602335438132286,0.5282140970230103,0.5980603098869324,0.8453421592712402,0.029607638716697693,0.41960784792900085,0.896489679813385,1.2022149562835693,0.0002500000118743628
0.025748692452907562,0.5427574515342712,0.5703221559524536,0.8158701062202454,0.02906784415245056,0.3843137323856354,0.9343535304069519,1.2562716007232666,0.0002500000118743628
0.025109635666012764,0.5436300039291382,0.5567346215248108,0.7999309301376343,0.028643004596233368,0.4274510145187378,0.8446430563926697,1.1510734558105469,0.0002500000118743628
0.02486281841993332,0.5549737215042114,0.5285717844963074,0.7704164981842041,0.02951977588236332,0.4274510145187378,0.8595072627067566,1.176548719406128,0.0002500000118743628
