bbox_out_sigmoid_loss,class_out_accuracy,class_out_loss,loss,val_bbox_out_sigmoid_loss,val_class_out_accuracy,val_class_out_loss,val_loss,learning_rate
0.034191202372312546,0.6553466320037842,0.6571403741836548,1.0208265781402588,0.038385868072509766,0.8085900545120239,0.4757591784000397,0.7393693923950195,0.0003000000142492354
0.020892515778541565,0.8841391205787659,0.17494061589241028,0.2832396924495697,0.024189606308937073,0.8242629766464233,0.29257455468177795,0.45981723070144653,0.0003000000142492354
0.016310928389430046,0.9016870856285095,0.1144280955195427,0.1880253255367279,0.020555151626467705,0.8315725922584534,0.2494102269411087,0.39314645528793335,0.0003000000142492354
0.014262731187045574,0.9150223135948181,0.08717724680900574,0.14507479965686798,0.01909230835735798,0.8284513354301453,0.2529393434524536,0.4024166464805603,0.0003000000142492354
0.013221103698015213,0.9246673583984375,0.07458177208900452,0.12512746453285217,0.018004387617111206,0.8371748924255371,0.23118014633655548,0.36336615681648254,0.0003000000142492354
0.012301530689001083,0.932793915271759,0.06353934854269028,0.10767190903425217,0.01726798713207245,0.8353074193000793,0.23744960129261017,0.3768356740474701,0.0003000000142492354
0.01148555800318718,0.9405207633972168,0.053504008799791336,0.09177260100841522,0.016745420172810555,0.8358810544013977,0.2278597354888916,0.36268484592437744,0.0003000000142492354
0.010655243881046772,0.946242094039917,0.046839963644742966,0.08091548830270767,0.016724886372685432,0.8393089771270752,0.23619277775287628,0.372763991355896,0.0003000000142492354
0.010230416432023048,0.949251651763916,0.04295323044061661,0.07461363077163696,0.016172092407941818,0.8409364819526672,0.2303646206855774,0.36162877082824707,0.0003000000142492354
0.00968883465975523,0.9540727138519287,0.038379356265068054,0.06722208857536316,0.016318906098604202,0.8433106541633606,0.24581235647201538,0.3839678168296814,0.0003000000142492354
0.009112999774515629,0.959100604057312,0.03415875881910324,0.060351014137268066,0.016934514045715332,0.8362944722175598,0.2614279091358185,0.40532124042510986,0.0003000000142492354
0.008724182844161987,0.9612414836883545,0.032563429325819016,0.057609543204307556,0.017108837142586708,0.8295717835426331,0.2794516086578369,0.4319053590297699,0.0003000000142492354
0.008350861258804798,0.9622704982757568,0.031323015689849854,0.055333882570266724,0.017021754756569862,0.8304789066314697,0.27865028381347656,0.4392491579055786,0.0003000000142492354
0.008021634072065353,0.9655530452728271,0.027979271486401558,0.05005655810236931,0.017903409898281097,0.827491044998169,0.2810368835926056,0.435865193605423,0.0003000000142492354
0.00748163228854537,0.9695886373519897,0.02432040497660637,0.04395946487784386,0.018462739884853363,0.8218221068382263,0.29554033279418945,0.4561256766319275,0.0003000000142492354
0.007338068448007107,0.9720856547355652,0.022137297317385674,0.040587786585092545,0.01885375939309597,0.8248766660690308,0.2935309112071991,0.45006927847862244,0.0001500000071246177
0.006989920977503061,0.9755671620368958,0.019806809723377228,0.03671139478683472,0.018242863938212395,0.8258503675460815,0.2860095202922821,0.43563205003738403,0.0001500000071246177
0.0068841916508972645,0.9763118624687195,0.019707370549440384,0.03643328696489334,0.018164604902267456,0.8323729634284973,0.27614983916282654,0.4182502329349518,0.0001500000071246177
0.00674269488081336,0.9783215522766113,0.017550678923726082,0.033071357756853104,0.018125979229807854,0.8283047080039978,0.2791536748409271,0.42472362518310547,0.0001500000071246177
0.006536868400871754,0.9805375337600708,0.01610068418085575,0.030706176534295082,0.018126770853996277,0.8270641565322876,0.2911815643310547,0.4450507164001465,0.0001500000071246177
0.006505152210593224,0.9808117151260376,0.015773124992847443,0.03012523613870144,0.017293427139520645,0.8358809351921082,0.2617805600166321,0.40384647250175476,0.0001500000071246177
