epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.266,1.49312,3.19189,1.43043,0.89394,0.21647,0.45149,0.29347,1.36297,2.95469,1.24547,0.00041088,0.00041088,0.00041088
2,233.517,1.52437,1.98108,1.40887,0.52625,0.56376,0.50464,0.31673,1.59684,2.05615,1.45874,0.000819354,0.000819354,0.000819354
3,345.343,1.48248,1.66638,1.38708,0.72436,0.63568,0.68852,0.40203,1.61521,1.75289,1.58311,0.00121958,0.00121958,0.00121958
4,457.528,1.44807,1.58553,1.37785,0.60585,0.57945,0.59177,0.33833,1.62361,1.80979,1.49559,0.00121287,0.00121287,0.00121287
5,569.673,1.39063,1.47624,1.34375,0.59986,0.61064,0.62461,0.39637,1.51195,1.78872,1.47947,0.0012005,0.0012005,0.0012005
6,681.612,1.33023,1.36717,1.29207,0.47801,0.49772,0.53167,0.33503,1.66845,1.87069,1.51496,0.00118812,0.00118812,0.00118812
7,795.832,1.31536,1.34724,1.28331,0.651,0.5529,0.60308,0.39205,1.5516,1.61116,1.46143,0.00117575,0.00117575,0.00117575
8,905.76,1.24926,1.26053,1.24101,0.63952,0.7162,0.72481,0.49153,1.46358,1.57142,1.42646,0.00116337,0.00116337,0.00116337
9,1016.71,1.23263,1.20036,1.24349,0.75268,0.66465,0.71197,0.46969,1.49833,1.54182,1.3809,0.001151,0.001151,0.001151
10,1127.92,1.1852,1.17042,1.21101,0.60314,0.64115,0.62941,0.38239,1.52203,1.74742,1.49975,0.00113863,0.00113863,0.00113863
11,1240.05,1.17979,1.13388,1.21655,0.89806,0.68317,0.80529,0.56332,1.41001,1.29895,1.39236,0.00112625,0.00112625,0.00112625
12,1352.06,1.13759,1.06751,1.18838,0.80924,0.65671,0.79031,0.52458,1.46248,1.43259,1.39076,0.00111388,0.00111388,0.00111388
13,1466.12,1.11061,1.04602,1.17168,0.81633,0.59649,0.71524,0.48852,1.59455,1.5289,1.47649,0.0011015,0.0011015,0.0011015
14,1576.31,1.10057,1.04868,1.15955,0.66802,0.7403,0.71436,0.46861,1.49603,1.43122,1.43993,0.00108913,0.00108913,0.00108913
15,1691.49,1.0933,1.00378,1.16257,0.77485,0.7206,0.76241,0.53443,1.47939,1.43832,1.42014,0.00107675,0.00107675,0.00107675
16,1804.45,1.05222,0.97527,1.14082,0.87454,0.66396,0.7765,0.5102,1.47349,1.28499,1.40189,0.00106437,0.00106437,0.00106437
17,1917.6,1.03554,0.95682,1.13477,0.7965,0.74515,0.81543,0.5438,1.41651,1.26194,1.41663,0.001052,0.001052,0.001052
18,2029.76,1.02192,0.93346,1.12672,0.80319,0.68232,0.7845,0.52349,1.42162,1.3035,1.45558,0.00103962,0.00103962,0.00103962
19,2140.82,0.99224,0.89344,1.11834,0.93399,0.65585,0.77366,0.51662,1.48931,1.42315,1.43651,0.00102725,0.00102725,0.00102725
20,2251.57,0.98748,0.86369,1.10841,0.89563,0.66697,0.79695,0.55339,1.47697,1.35079,1.4578,0.00101488,0.00101488,0.00101488
21,2363.48,0.95609,0.86686,1.09513,0.82586,0.75058,0.82214,0.56403,1.44751,1.19792,1.41664,0.0010025,0.0010025,0.0010025
22,2475.69,0.95738,0.85225,1.0956,0.84048,0.72464,0.80265,0.52448,1.43237,1.2938,1.40009,0.000990125,0.000990125,0.000990125
23,2591.16,0.94785,0.83658,1.09012,0.83047,0.62353,0.7295,0.4933,1.45154,1.3203,1.47519,0.00097775,0.00097775,0.00097775
24,2708.16,0.95108,0.81297,1.08341,0.82351,0.69333,0.79591,0.52307,1.40978,1.2827,1.40661,0.000965375,0.000965375,0.000965375
25,2820.16,0.91608,0.77934,1.06597,0.78756,0.73306,0.80287,0.5321,1.4148,1.35558,1.4079,0.000953,0.000953,0.000953
26,2929.94,0.89727,0.76762,1.06011,0.79215,0.73389,0.78746,0.54441,1.40517,1.22091,1.41332,0.000940625,0.000940625,0.000940625
27,3041.86,0.89356,0.7828,1.05707,0.76081,0.69198,0.77469,0.52219,1.40438,1.36232,1.41172,0.00092825,0.00092825,0.00092825
28,3154.04,0.86704,0.73965,1.04228,0.7076,0.72436,0.76635,0.53083,1.42065,1.37062,1.41519,0.000915875,0.000915875,0.000915875
29,3265.78,0.88127,0.75618,1.05325,0.83606,0.75675,0.81434,0.56156,1.43132,1.24529,1.45241,0.0009035,0.0009035,0.0009035
30,3377.34,0.86587,0.73874,1.04442,0.87173,0.65531,0.78067,0.55099,1.37995,1.30352,1.39712,0.000891125,0.000891125,0.000891125
31,3489.81,0.85373,0.71578,1.03711,0.88961,0.73212,0.83026,0.56558,1.41833,1.1843,1.43397,0.00087875,0.00087875,0.00087875
32,3602.04,0.82578,0.6937,1.02771,0.83327,0.64544,0.76049,0.5448,1.46039,1.36097,1.47066,0.000866375,0.000866375,0.000866375
