epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,30.6775,1.05999,1.19644,1.28291,0.80179,0.62234,0.73781,0.48303,1.22835,1.24071,1.32793,0.000494565,0.000164855,0.000494565,0.000164855,0.000494565,0.000164855,0.000494565,0.000164855
2,55.5911,0.94499,0.92393,1.20316,0.74072,0.65872,0.75003,0.48955,1.22124,1.16578,1.31588,0.000994069,0.000331356,0.000994069,0.000331356,0.000994069,0.000331356,0.000994069,0.000331356
3,77.7325,0.90524,0.85754,1.18274,0.76314,0.67847,0.74562,0.49162,1.22567,1.15882,1.31855,0.00149159,0.000497196,0.00149159,0.000497196,0.00149159,0.000497196,0.00149159,0.000497196
4,98.768,0.8897,0.80692,1.17706,0.79615,0.65679,0.76721,0.51178,1.18552,1.07994,1.28321,0.00149328,0.00049776,0.00149328,0.00049776,0.00149328,0.00049776,0.00149328,0.00049776
5,119.93,0.87204,0.79601,1.16898,0.76524,0.6749,0.76265,0.51228,1.18366,1.06075,1.28274,0.00148807,0.000496023,0.00148807,0.000496023,0.00148807,0.000496023,0.00148807,0.000496023
6,141.094,0.84494,0.76543,1.15157,0.76357,0.68867,0.7716,0.51891,1.16664,1.03959,1.2639,0.00148138,0.000493795,0.00148138,0.000493795,0.00148138,0.000493795,0.00148138,0.000493795
7,162.119,0.81886,0.74816,1.1386,0.82341,0.65402,0.78116,0.52225,1.1616,1.03194,1.25549,0.00147324,0.000491081,0.00147324,0.000491081,0.00147324,0.000491081,0.00147324,0.000491081
8,183.229,0.8186,0.73299,1.13238,0.7325,0.69492,0.77026,0.51898,1.17139,1.07279,1.27092,0.00146366,0.000487886,0.00146366,0.000487886,0.00146366,0.000487886,0.00146366,0.000487886
9,204.946,0.8082,0.71525,1.13427,0.78555,0.667,0.77077,0.51238,1.17903,1.05762,1.28378,0.00145265,0.000484218,0.00145265,0.000484218,0.00145265,0.000484218,0.00145265,0.000484218
10,225.882,0.82625,0.72476,1.13852,0.79721,0.69431,0.79088,0.52874,1.16737,1.00172,1.27342,0.00144025,0.000480083,0.00144025,0.000480083,0.00144025,0.000480083,0.00144025,0.000480083
11,246.919,0.78614,0.70472,1.11946,0.82093,0.6633,0.77709,0.52279,1.1729,1.05079,1.28027,0.00142647,0.00047549,0.00142647,0.00047549,0.00142647,0.00047549,0.00142647,0.00047549
12,267.925,0.77368,0.67228,1.10703,0.82112,0.67545,0.7958,0.52798,1.17316,1.02659,1.27326,0.00141134,0.000470447,0.00141134,0.000470447,0.00141134,0.000470447,0.00141134,0.000470447
13,289.07,0.78017,0.67342,1.11142,0.81432,0.68735,0.78539,0.52351,1.17653,1.03581,1.27574,0.0013949,0.000464966,0.0013949,0.000464966,0.0013949,0.000464966,0.0013949,0.000464966
14,310.065,0.79107,0.70633,1.1157,0.79634,0.67642,0.78019,0.52452,1.1805,1.03146,1.28201,0.00137717,0.000459057,0.00137717,0.000459057,0.00137717,0.000459057,0.00137717,0.000459057
15,330.896,0.77287,0.68075,1.11035,0.77374,0.68749,0.78897,0.52985,1.14844,1.03275,1.25758,0.0013582,0.000452732,0.0013582,0.000452732,0.0013582,0.000452732,0.0013582,0.000452732
