epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,31.5163,1.21331,2.89934,1.43983,0.74117,0.44387,0.5604,0.35944,1.22163,2.27207,1.3403,0.0098913,0.0032971,0.0098913,0.0032971,0.0098913,0.0032971,0.0098913,0.0032971
2,50.6414,1.17687,1.7961,1.35314,0.71742,0.62552,0.69202,0.41209,1.30735,1.587,1.43322,0.0198374,0.00661246,0.0198374,0.00661246,0.0198374,0.00661246,0.0198374,0.00661246
3,66.5375,1.23003,1.64945,1.39041,0.57496,0.59372,0.59635,0.34747,1.38293,1.60968,1.42496,0.029568,0.00985599,0.029568,0.00985599,0.029568,0.00985599,0.029568,0.00985599
4,81.341,1.23968,1.50289,1.38576,0.65012,0.67726,0.68445,0.39899,1.38046,1.41605,1.4168,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
5,96.0083,1.23463,1.42266,1.38919,0.68869,0.6588,0.6987,0.40565,1.31403,1.2706,1.39078,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
6,110.703,1.18393,1.28428,1.36135,0.71625,0.64609,0.71977,0.43833,1.29959,1.22963,1.40022,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
7,125.235,1.14815,1.2154,1.33631,0.71919,0.65145,0.71416,0.43647,1.31839,1.22526,1.39533,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
8,140.055,1.1286,1.13946,1.31159,0.7366,0.6523,0.71544,0.44276,1.30009,1.19903,1.37608,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
9,154.808,1.10557,1.10649,1.3111,0.73339,0.67144,0.72883,0.44314,1.28572,1.14795,1.37248,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
10,169.369,1.11024,1.09353,1.30327,0.69581,0.72349,0.75448,0.47616,1.25553,1.11995,1.30566,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
11,183.953,1.06597,1.04197,1.27738,0.71804,0.67282,0.74791,0.47694,1.23835,1.12226,1.32916,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,198.461,1.03141,0.99032,1.25876,0.75381,0.69508,0.77092,0.49239,1.22373,1.06207,1.31824,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
13,213.186,1.02259,0.95786,1.25183,0.74053,0.67121,0.73569,0.475,1.2183,1.1415,1.31985,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
14,227.679,1.0279,0.98641,1.25331,0.78083,0.68852,0.76413,0.49014,1.19571,1.09532,1.30316,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
15,242.441,0.99088,0.93561,1.23396,0.76085,0.68103,0.75659,0.48511,1.2338,1.11262,1.33659,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
16,256.955,0.96368,0.89062,1.20751,0.77337,0.67561,0.74865,0.48734,1.21156,1.10221,1.29852,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,271.527,0.94482,0.85884,1.19874,0.76272,0.71485,0.77534,0.50741,1.17399,1.07587,1.28004,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
18,286.097,0.92669,0.84958,1.17787,0.79257,0.67772,0.76737,0.49989,1.21771,1.09262,1.3097,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
19,300.673,0.92255,0.82441,1.18549,0.78977,0.66473,0.74946,0.48995,1.21356,1.14158,1.30615,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
20,315.204,0.89746,0.80362,1.17439,0.77068,0.68696,0.76564,0.50005,1.22068,1.08181,1.30909,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
21,330.54,0.72091,0.53667,1.07995,0.80396,0.67427,0.76364,0.50198,1.19723,1.08872,1.29548,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
22,344.687,0.69388,0.50251,1.05892,0.80678,0.67839,0.78473,0.51992,1.18232,1.04388,1.28176,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
23,358.864,0.65958,0.47874,1.03995,0.79042,0.68975,0.78845,0.52061,1.18678,1.02985,1.2788,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
