epoch,train_loss,train_cls_loss,train_reg_loss,train_ctr_loss,val_loss,val_cls_loss,val_reg_loss,val_ctr_loss,lr,img_size,phase
0,16.475570487976075,12.654434776306152,3.821135658688015,0.0,14.67524512608846,10.78471295038859,3.890531897544861,0.0,0.0003333333333333333,224,phase1
1,11.212004852294921,7.913107458750407,3.2988973458607993,0.0,9.631775061289469,6.13122312227885,3.50055197874705,0.0,0.0006666666666666666,224,phase1
2,7.149600675370958,4.239233414332072,2.9103672663370768,0.0,6.780998229980469,3.485896944999695,3.2951013247172036,0.0,0.001,224,phase1
3,5.429807419247098,2.789111089706421,2.6406963030497232,0.0,6.091332991917928,2.898025631904602,3.193307399749756,0.0,0.001,224,phase1
4,4.837335353427463,2.3729634443918863,2.4643719408247207,0.0,5.733515342076619,2.650002876917521,3.0835125048955283,0.0,0.0009988835509676455,224,phase1
5,4.538255373636882,2.1759023904800414,2.3623529275258384,0.0,5.578127304712932,2.51566090186437,3.062466303507487,0.0,0.0009955391902029824,224,phase1
6,4.318177445729574,2.0317081371943155,2.2864692899915906,0.0,5.429804801940918,2.4600415229797363,2.969763199488322,0.0,0.0009899818544330417,224,phase1
7,4.186540836758084,1.9612681812710233,2.2252726713816324,0.0,5.41064174969991,2.4228140711784363,2.987827698389689,0.0,0.0009822363640684356,224,phase1
8,4.030563222037421,1.87413596312205,2.156427240371704,0.0,5.275203704833984,2.4561465779940286,2.8190571864446006,0.0,0.0009723373123493789,224,phase1
9,3.9795799308353,1.8321991761525471,2.14738073348999,0.0,5.299031654993693,2.438490331172943,2.8605413834253945,0.0,0.0009603289108438804,224,phase1
10,3.864237101872762,1.750179558330112,2.114057519700792,0.0,5.07961901028951,2.213790774345398,2.865828196207682,0.0,0.0009462647919881474,224,phase1
11,3.7879514164394803,1.7082643853293524,2.079687001970079,0.0,5.024608413378398,2.2609278162320456,2.763680617014567,0.0,0.0009302077695511065,224,phase1
12,3.8104963938395184,1.7272080050574408,2.083288375536601,0.0,5.092924912770589,2.2699153224627175,2.8230095704396567,0.0,0.0009122295580928629,224,phase1
13,3.7144002119700112,1.6690707895490857,2.0453294038772585,0.0,5.03742527961731,2.2026252150535583,2.834800124168396,0.0,0.0008924104526700664,224,phase1
14,3.6586952315436467,1.6383624686135185,2.020332784122891,0.0,5.29017186164856,2.329279581705729,2.9608923196792603,0.0,0.0008708389702186964,224,phase1
15,3.6169843567742244,1.6078238195843166,2.0091605557335748,0.0,5.108248313268025,2.3012567162513733,2.8069915771484375,0.0,0.0008476114542159374,224,phase1
