epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,45.314,1.13158,1.47818,0.01654,0.77933,0.59693,0.70025,0.49207,1.20913,1.66064,0.01697,0.000494565,0.000164855,0.000494565,0.000164855,0.000494565,0.000164855,0.000494565,0.000164855
2,80.2528,1.02353,1.07614,0.01448,0.79079,0.60816,0.7203,0.49927,1.19208,1.4671,0.01667,0.000994069,0.000331356,0.000994069,0.000331356,0.000994069,0.000331356,0.000994069,0.000331356
3,110.091,0.99925,1.02048,0.01407,0.75874,0.6578,0.72783,0.51156,1.17556,1.40598,0.01646,0.00149159,0.000497196,0.00149159,0.000497196,0.00149159,0.000497196,0.00149159,0.000497196
4,139.317,0.9637,0.9058,0.01382,0.77289,0.65158,0.73328,0.51328,1.15772,1.35833,0.01603,0.00149328,0.00049776,0.00149328,0.00049776,0.00149328,0.00049776,0.00149328,0.00049776
5,168.895,0.95702,0.88786,0.01379,0.78002,0.65314,0.73329,0.51565,1.17893,1.34267,0.01657,0.00148807,0.000496023,0.00148807,0.000496023,0.00148807,0.000496023,0.00148807,0.000496023
6,198.018,0.92622,0.85981,0.0129,0.83406,0.6407,0.74141,0.51856,1.18337,1.32958,0.01655,0.00148138,0.000493795,0.00148138,0.000493795,0.00148138,0.000493795,0.00148138,0.000493795
7,227.181,0.90732,0.83073,0.01282,0.76944,0.66825,0.73526,0.51258,1.16793,1.365,0.01621,0.00147324,0.000491081,0.00147324,0.000491081,0.00147324,0.000491081,0.00147324,0.000491081
8,256.194,0.89038,0.7768,0.01256,0.806,0.64307,0.73728,0.5199,1.17529,1.33247,0.01637,0.00146366,0.000487886,0.00146366,0.000487886,0.00146366,0.000487886,0.00146366,0.000487886
9,285.202,0.88802,0.79451,0.01256,0.77648,0.66524,0.73881,0.52163,1.16247,1.29743,0.01617,0.00145265,0.000484218,0.00145265,0.000484218,0.00145265,0.000484218,0.00145265,0.000484218
10,314.464,0.9048,0.78472,0.01264,0.82463,0.65722,0.75075,0.51902,1.16818,1.30496,0.01625,0.00144025,0.000480083,0.00144025,0.000480083,0.00144025,0.000480083,0.00144025,0.000480083
