bbox_out_loss,class_out_loss,loss,objectness_loss,val_bbox_out_loss,val_class_out_loss,val_loss,val_objectness_loss,learning_rate,phase
0.0527661107480526,0.1231763213872909,0.2065979838371276,0.0305755827575922,0.0392624698579311,0.0921482965350151,0.149352416396141,0.0175947379320859,0.0010000000474974,phase1
0.033498216420412,0.0574305169284343,0.1081631258130073,0.0172415133565664,0.0303385108709335,0.0556346736848354,0.101801224052906,0.0158062279224395,0.0010000000474974,phase1
0.0299258828163146,0.0490615181624889,0.0951741710305213,0.0161833725869655,0.0281208734959363,0.0490404367446899,0.0924340635538101,0.0152231510728597,0.0010000000474974,phase1
0.0279304012656211,0.0438623763620853,0.0874505192041397,0.0156431440263986,0.0255104787647724,0.0424055457115173,0.0826295390725135,0.0145456343889236,0.0010000000474974,phase1
0.0263964589685201,0.0410579927265644,0.0827196091413497,0.0152497710660099,0.0245330948382616,0.0373718664050102,0.0760851502418518,0.0142485843971371,0.0010000000474974,phase1
0.0253881085664033,0.0386337786912918,0.0790401995182037,0.0150074893608689,0.0239930767565965,0.0345239639282226,0.0726220607757568,0.0141010973602533,0.0010000000474974,phase1
0.0245936699211597,0.0360204987227916,0.0753184407949447,0.0147407539188861,0.0231740288436412,0.0325143784284591,0.0697026178240776,0.0139002799987792,0.0010000000474974,phase1
0.0240407139062881,0.0339896753430366,0.0726196467876434,0.0145931467413902,0.0227521266788244,0.03385029733181,0.07037103921175,0.0136389899998903,0.0010000000474974,phase1
0.0235730949789285,0.0320257097482681,0.0700614005327224,0.014461132697761,0.0218781568109989,0.0276606418192386,0.0631129741668701,0.0134878419339656,0.0010000000474974,phase1
0.0230135787278413,0.0316399335861206,0.0689475089311599,0.0143166184425354,0.0219175647944211,0.0263250842690467,0.0617127195000648,0.0134606957435607,0.0010000000474974,phase1
0.0226357728242874,0.0290823765099048,0.0659491941332817,0.0142192663624882,0.0214397553354501,0.0285961385816335,0.0635413974523544,0.0134340394288301,0.0010000000474974,phase1
0.0222486685961484,0.0283711683005094,0.0647481754422187,0.0141258118674159,0.0204374473541975,0.0288748573511838,0.0627140328288078,0.0132845928892493,0.0010000000474974,phase1
0.0220475550740957,0.0267562232911586,0.0627852752804756,0.0140054412186145,0.020548103377223,0.0265853274613618,0.0602756217122077,0.0133039653301239,0.0010000000474974,phase1
0.0217357520014047,0.0262273903936147,0.0618705376982688,0.0138994017615914,0.0202511418610811,0.0230342485010623,0.0564996749162673,0.0130664426833391,0.0010000000474974,phase1
0.0214669685810804,0.0239125937223434,0.0592508167028427,0.0138732995837926,0.0209063086658716,0.0245381705462932,0.0586211830377578,0.0131370844319462,0.0010000000474974,phase1
0.0213245451450347,0.0231301467865705,0.0582551062107086,0.0138131128624081,0.0203745681792497,0.0235102158039808,0.0570462122559547,0.0130934286862611,0.0010000000474974,phase1
0.0211587287485599,0.0223805736750364,0.0572923235595226,0.0137445833534002,0.0195484161376953,0.0231173001229763,0.0557254962623119,0.0129568548873066,0.0010000000474974,phase1
0.0209064241498708,0.0217794645577669,0.0564270466566085,0.0137395607307553,0.019171692430973,0.0227563697844743,0.0549055039882659,0.0129403844475746,0.0010000000474974,phase1
0.0206686947494745,0.0202530864626169,0.0545570477843284,0.0136312618851661,0.0193804092705249,0.0250245109200477,0.0573772899806499,0.0129020605236291,0.0010000000474974,phase1
0.0205656383186578,0.0202954206615686,0.054510723799467,0.0136449616402387,0.0189641546458005,0.024113954976201,0.0560411550104618,0.0128138745203614,0.0010000000474974,phase1
0.0203678216785192,0.0202633403241634,0.0542341172695159,0.0136034600436687,0.0191639680415391,0.0229925028979778,0.0550128482282161,0.0127691188827157,0.0010000000474974,phase1
0.0202140118926763,0.0198957305401563,0.0536580644547939,0.0135353030636906,0.0192942470312118,0.024701002985239,0.0568111836910247,0.0127769485116004,0.0010000000474974,phase1
0.0202323738485574,0.0196293145418167,0.0533672384917736,0.0135053126141428,0.0187773741781711,0.0229051355272531,0.0546052865684032,0.0128203863278031,0.0010000000474974,phase1
0.0200946889817714,0.0186731163412332,0.0522725991904735,0.0135003607720136,0.0185127817094326,0.0202948339283466,0.0516197234392166,0.012703139334917,0.0010000000474974,phase1
0.0201325248926877,0.0199707690626382,0.0535694248974323,0.0134630342945456,0.0185432005673646,0.0258351471275091,0.0571143887937068,0.0126561718061566,0.0010000000474974,phase1
0.0198499150574207,0.0187628418207168,0.0520462952554225,0.0134343085810542,0.0187686495482921,0.0229581724852323,0.0544361919164657,0.012676109559834,0.0010000000474974,phase1
0.0197284799069166,0.0166486259549856,0.0497298464179039,0.0133484508842229,0.0186588522046804,0.0245377495884895,0.0557970441877841,0.0126047963276505,0.0010000000474974,phase1
0.0196307748556137,0.0178682263940572,0.0508514568209648,0.0133555438369512,0.0183361172676086,0.0206156801432371,0.0516184568405151,0.0125919245183467,0.0010000000474974,phase1
0.0194141026586294,0.0170644167810678,0.0497962869703769,0.0133226923644542,0.0181838665157556,0.0221193935722112,0.0527474135160446,0.0125010944902896,0.0010000000474974,phase1
0.0192244704812765,0.0202950835227966,0.0528352931141853,0.0133086973801255,0.0177465416491031,0.0196382235735654,0.0499071180820465,0.0123790260404348,0.0002000000094994,phase1
0.0219062212854623,0.0412046797573566,0.0770229995250701,0.013900376856327,0.018656576052308,0.0188818648457527,0.0500479117035865,0.0124556450173258,4.999999873689376e-05,phase2
0.0211189594119787,0.0305005554109811,0.0653293505311012,0.0137143433094024,0.0181524995714426,0.0191859975457191,0.0498192124068737,0.0123397577553987,4.999999873689376e-05,phase2
0.0205510035157203,0.0261727478355169,0.0603428520262241,0.0136183528229594,0.0179719217121601,0.0180422440171241,0.0484328754246234,0.0123086115345358,4.999999873689376e-05,phase2
0.020260876044631,0.0252257976680994,0.0590684153139591,0.0135858058929443,0.0178951378911733,0.0182706452906131,0.0484861247241497,0.01232426520437,4.999999873689376e-05,phase2
0.0199320968240499,0.0232713855803012,0.0566969774663448,0.0134878437966108,0.0177619457244873,0.0192810930311679,0.0492333471775054,0.0123166078701615,4.999999873689376e-05,phase2
0.0196773987263441,0.0206551197916269,0.0537368170917034,0.0134124206379055,0.017453508451581,0.0186652299016714,0.0484717525541782,0.0122784338891506,4.999999873689376e-05,phase2
0.0196171961724758,0.0207667872309684,0.0537910908460617,0.0134135372936725,0.0174184702336788,0.0189106408506631,0.0486822910606861,0.0122665772214531,4.999999873689376e-05,phase2
0.0192864891141653,0.0202672034502029,0.0528900064527988,0.0133437244221568,0.0172534007579088,0.0176523216068744,0.0471424236893653,0.0122468518093228,4.999999873689376e-05,phase2
0.0191517639905214,0.0187612175941467,0.0512539930641651,0.013336569070816,0.0171339772641658,0.0178739335387945,0.0473191887140274,0.0122259212657809,4.999999873689376e-05,phase2
0.0188962798565626,0.0188026446849107,0.0510250851511955,0.0133197288960218,0.0171997919678688,0.0179562158882617,0.0472420044243335,0.012218783609569,4.999999873689376e-05,phase2
