bbox_out_loss,class_out_loss,loss,objectness_loss,val_bbox_out_loss,val_class_out_loss,val_loss,val_objectness_loss,learning_rate,phase
0.02190622128546238,0.041204679757356644,0.07702299952507019,0.013900376856327057,0.018656576052308083,0.018881864845752716,0.05004791170358658,0.012455645017325878,4.999999873689376e-05,phase2
0.02111895941197872,0.03050055541098118,0.06532935053110123,0.013714343309402466,0.018152499571442604,0.019185997545719147,0.0498192124068737,0.01233975775539875,4.999999873689376e-05,phase2
0.020551003515720367,0.02617274783551693,0.060342852026224136,0.013618352822959423,0.01797192171216011,0.018042244017124176,0.04843287542462349,0.012308611534535885,4.999999873689376e-05,phase2
0.020260876044631004,0.025225797668099403,0.05906841531395912,0.013585805892944336,0.017895137891173363,0.018270645290613174,0.048486124724149704,0.012324265204370022,4.999999873689376e-05,phase2
0.01993209682404995,0.023271385580301285,0.05669697746634483,0.013487843796610832,0.017761945724487305,0.019281093031167984,0.04923334717750549,0.012316607870161533,4.999999873689376e-05,phase2
0.01967739872634411,0.02065511979162693,0.053736817091703415,0.013412420637905598,0.017453508451581,0.01866522990167141,0.04847175255417824,0.01227843388915062,4.999999873689376e-05,phase2
0.019617196172475815,0.020766787230968475,0.05379109084606171,0.013413537293672562,0.017418470233678818,0.018910640850663185,0.04868229106068611,0.01226657722145319,4.999999873689376e-05,phase2
0.019286489114165306,0.020267203450202942,0.05289000645279884,0.01334372442215681,0.01725340075790882,0.017652321606874466,0.04714242368936539,0.012246851809322834,4.999999873689376e-05,phase2
0.01915176399052143,0.01876121759414673,0.051253993064165115,0.01333656907081604,0.01713397726416588,0.017873933538794518,0.047319188714027405,0.012225921265780926,4.999999873689376e-05,phase2
0.018896279856562614,0.018802644684910774,0.051025085151195526,0.013319728896021843,0.017199791967868805,0.017956215888261795,0.04724200442433357,0.012218783609569073,4.999999873689376e-05,phase2
0.018767789006233215,0.01748364232480526,0.049506302922964096,0.013245743699371815,0.016950536519289017,0.017490457743406296,0.04673141613602638,0.012205664068460464,4.999999873689376e-05,phase2
0.018565870821475983,0.01693148910999298,0.04873572289943695,0.013241772539913654,0.01687508076429367,0.017339665442705154,0.04636547341942787,0.012171659618616104,4.999999873689376e-05,phase2
0.01849580928683281,0.01575314998626709,0.0474669523537159,0.013216239400207996,0.01676269806921482,0.01761961542069912,0.04663856700062752,0.012176924385130405,4.999999873689376e-05,phase2
0.01830807887017727,0.015599101781845093,0.04708973690867424,0.013190225698053837,0.01657155714929104,0.018138371407985687,0.046983666718006134,0.01216444093734026,4.999999873689376e-05,phase2
