Category,Count,Area_mean,Area_median,Ratio_mean,Ratio_std
dog,446,36791.97,9916.12,1.05,0.48
door,486,56075.76,29697.91,0.43,0.2
obstacle,876,38609.45,18918.93,0.74,0.37
person,551,45616.27,29704.66,0.49,0.24
stair,477,56647.84,34190.61,1.22,0.52
