hash,split,image_id,filename,duplicate_count
e3d9dbe7873118ff0efd66b5caa7f405,all,4822,img_004822.jpg,2
7aea59c192144b5a0ec6052a41e25a77,all,1142,img_001142.jpg,2
7aea59c192144b5a0ec6052a41e25a77,all,4823,img_004823.jpg,2
6503045ba22846a94752a2fe1b79590e,all,1144,img_001144.jpg,2
6503045ba22846a94752a2fe1b79590e,all,4824,img_004824.jpg,2
e2c6035764b88831854d71fbc03d4f46,all,1147,img_001147.jpg,2
e2c6035764b88831854d71fbc03d4f46,all,4826,img_004826.jpg,2
4a1f148c1a9c660aaf1b61343c02d9db,all,1148,img_001148.jpg,2
4a1f148c1a9c660aaf1b61343c02d9db,all,4827,img_004827.jpg,2
998cab8285bf4478ea0f19d485fd89c3,all,1150,img_001150.jpg,2
998cab8285bf4478ea0f19d485fd89c3,all,4830,img_004830.jpg,2
303c1e5e828c47102d44e54956f3c41c,all,1151,img_001151.jpg,2
303c1e5e828c47102d44e54956f3c41c,all,4831,img_004831.jpg,2
d7f889c39316b60f863f9f97f717a239,all,1152,img_001152.jpg,2
d7f889c39316b60f863f9f97f717a239,all,4834,img_004834.jpg,2
5179ba1a6d47c6676d046504558d0910,all,1153,img_001153.jpg,2
5179ba1a6d47c6676d046504558d0910,all,4833,img_004833.jpg,2
40ce2bff40c1afe2743fc0fa73913db2,all,1154,img_001154.jpg,2
40ce2bff40c1afe2743fc0fa73913db2,all,4836,img_004836.jpg,2
2e0cc4b99c3f8e3da045feeea792e6b7,all,1156,img_001156.jpg,2
2e0cc4b99c3f8e3da045feeea792e6b7,all,4837,img_004837.jpg,2
5b7a1801cb9e07b1780e413aff8e8c83,all,1157,img_001157.jpg,2
5b7a1801cb9e07b1780e413aff8e8c83,all,4838,img_004838.jpg,2
58864b9f9d2eb25c8c4ad3a81c805d6c,all,1159,img_001159.jpg,2
58864b9f9d2eb25c8c4ad3a81c805d6c,all,4840,img_004840.jpg,2
2c4ccc952368f45ff76843bd8ba9351b,all,1160,img_001160.jpg,2
2c4ccc952368f45ff76843bd8ba9351b,all,4841,img_004841.jpg,2
2262422ad6422b01566829e94049b0d4,all,1162,img_001162.jpg,2
2262422ad6422b01566829e94049b0d4,all,4843,img_004843.jpg,2
661fea14d7f97bf3ac9da87fed732d68,all,1164,img_001164.jpg,2
661fea14d7f97bf3ac9da87fed732d68,all,4845,img_004845.jpg,2
321e510b9b67d9814863a121805c779f,all,1165,img_001165.jpg,2
321e510b9b67d9814863a121805c779f,all,4846,img_004846.jpg,2
5ea066ee7a88fb2b2851717876ea38ff,all,1166,img_001166.jpg,2
5ea066ee7a88fb2b2851717876ea38ff,all,4847,img_004847.jpg,2
99f606797155cdbb57232cb44158b849,all,1167,img_001167.jpg,2
99f606797155cdbb57232cb44158b849,all,4848,img_004848.jpg,2
a84797aa4c18d2feba2b3a37e86b9f19,all,1170,img_001170.jpg,2
a84797aa4c18d2feba2b3a37e86b9f19,all,4849,img_004849.jpg,2
357c7b946fb21cf4f89d644d17c6711c,all,1173,img_001173.jpg,2
357c7b946fb21cf4f89d644d17c6711c,all,4853,img_004853.jpg,2
ea4ccda84187b3989924a65c38a5effb,all,1175,img_001175.jpg,2
ea4ccda84187b3989924a65c38a5effb,all,4854,img_004854.jpg,2
dbd8325d6a6680473535865dc41ecb8d,all,1176,img_001176.jpg,2
dbd8325d6a6680473535865dc41ecb8d,all,4855,img_004855.jpg,2
c3eb2143b6295f10a7c2209d42e88f2e,all,1177,img_001177.jpg,2
c3eb2143b6295f10a7c2209d42e88f2e,all,4856,img_004856.jpg,2
d4d5cb340a31db0505ef93f198d968de,all,1178,img_001178.jpg,2
d4d5cb340a31db0505ef93f198d968de,all,4857,img_004857.jpg,2
976f334a54124c98475de2fd9f1d2e37,all,1180,img_001180.jpg,2
