bbox_out_loss,class_out_loss,loss,objectness_loss,val_bbox_out_loss,val_class_out_loss,val_loss,val_objectness_loss,phase
0.0436840280890464,0.2107221186161041,0.2802990972995758,0.0258150100708007,0.0448523722589015,0.2152865082025528,0.2821837663650512,0.0225831475108861,phase1
0.0291482489556074,0.1205070540308952,0.1657586842775344,0.0160834938287735,0.0287387855350971,0.1323729008436203,0.1784636676311493,0.0160749871283769,phase1
0.0259448532015085,0.1081291362643241,0.1491383612155914,0.015081170015037,0.0247411876916885,0.1128659546375274,0.152924433350563,0.0144854187965393,phase1
0.0239262357354164,0.0988617986440658,0.1372624784708023,0.0144749404862523,0.0230361130088567,0.1030466333031654,0.1407099813222885,0.0139862950891256,phase1
0.022465756163001,0.0927459374070167,0.1292847841978073,0.014059885405004,0.0222499351948499,0.1007655635476112,0.1366506069898605,0.0137042421847581,phase1
0.0215701702982187,0.0897068083286285,0.1250530779361724,0.0137678384780883,0.0220206081867218,0.0899052992463111,0.1259166598320007,0.0135338976979255,phase1
0.0204524639993906,0.0844349935650825,0.1183336600661277,0.0134535012766718,0.0199846513569355,0.091278500854969,0.124257206916809,0.0128770424053072,phase1
0.0198623556643724,0.0833539515733718,0.1164792850613594,0.0132627673447132,0.0195417236536741,0.0861736983060836,0.119355596601963,0.0127649856731295,phase1
0.0194084085524082,0.080865241587162,0.1133758202195167,0.0131076565012335,0.0191952381283044,0.0842691883444786,0.1163844540715217,0.0126963350921869,phase1
0.0186862591654062,0.0773451849818229,0.1089171171188354,0.0128889009356498,0.0185007359832525,0.0794955119490623,0.110633447766304,0.0124610299244523,phase1
0.0182449519634246,0.07476756721735,0.105738840997219,0.0127168372273445,0.0188212245702743,0.0790045112371444,0.1097525879740715,0.0124965077266097,phase1
0.0179292596876621,0.0738813281059265,0.1044365167617797,0.0126180844381451,0.0187572930008173,0.0799922198057174,0.1111073866486549,0.0122397094964981,phase1
0.0173775218427181,0.0712387785315513,0.1010427325963974,0.0124236335977911,0.0176753681153059,0.0763635635375976,0.1065513119101524,0.0119590638205409,phase1
0.0169025491923093,0.0687848553061485,0.0979526713490486,0.0122732305899262,0.0178260784596204,0.0740107670426368,0.1041824147105217,0.0120739545673131,phase1
0.0168202873319387,0.0681151375174522,0.0971379578113555,0.0122034037485718,0.0176640283316373,0.0751028284430503,0.1037380695343017,0.0119672566652297,phase1
0.0166473928838968,0.0672369971871376,0.0959743931889534,0.0120848631486296,0.017868548631668,0.0747387334704399,0.1049886494874954,0.0119249699637293,phase1
0.0162179172039031,0.0660755857825279,0.0943023264408111,0.0120084788650274,0.0170382894575595,0.0740019381046295,0.1019139885902404,0.0118260290473699,phase1
0.0156789124011993,0.0648373514413833,0.0923774391412735,0.0118671916425228,0.0167097449302673,0.0742268785834312,0.1013206988573074,0.011775966733694,phase1
0.0159246642142534,0.0649518370628357,0.0927583202719688,0.0118800373747944,0.0165459923446178,0.0813544616103172,0.1105075776576995,0.0116807594895362,phase1
0.0155815323814749,0.0627858638763427,0.0900905653834343,0.011726583354175,0.016654985025525,0.0766535475850105,0.1053062081336975,0.0115653406828641,phase1
0.015170251019299,0.0627191364765167,0.0895736441016197,0.0116989286616444,0.0162425003945827,0.0710194036364555,0.0990982055664062,0.0114839635789394,phase1
0.0152740059420466,0.0624406822025775,0.0893640145659446,0.0116582149639725,0.0164756905287504,0.0698214247822761,0.0982808545231819,0.0115728471428155,phase1
0.0148008605465292,0.0610954761505126,0.087423488497734,0.011527138762176,0.0157545320689678,0.0699259713292121,0.0969390124082565,0.0113591700792312,phase1
0.0146649358794093,0.0596902854740619,0.0857589989900589,0.0114135518670082,0.0159325208514928,0.0752042531967163,0.1031410470604896,0.0113269630819559,phase1
0.0145116494968533,0.0603211112320423,0.0862527713179588,0.0114257531240582,0.0157375931739807,0.0701814219355583,0.0976748690009117,0.0112714022397995,phase1
0.0145216034725308,0.0594788305461406,0.0853531956672668,0.0113526228815317,0.0158284269273281,0.075658805668354,0.101529873907566,0.0112233683466911,phase1
0.0142226107418537,0.0582120232284069,0.083718754351139,0.011280283331871,0.0157786961644887,0.0718613415956497,0.0993976071476936,0.0113601004704833,phase1
0.0141086261719465,0.0576792694628238,0.0830190405249595,0.0112308943644166,0.0162364970892667,0.0720943734049797,0.0990660265088081,0.0113805066794157,phase1
0.0140119651332497,0.0585365183651447,0.0837784111499786,0.0112241152673959,0.0156139656901359,0.0697873756289482,0.0969153493642807,0.0112534286454319,phase1
0.013879083096981,0.0577429346740245,0.0828095003962516,0.0111962892115116,0.0153680574148893,0.0695401430130004,0.0961624160408973,0.0110990284010767,phase1
0.0136793693527579,0.0571329332888126,0.0819544717669487,0.0111500592902302,0.01546161621809,0.0752029791474342,0.1020073518157005,0.0111033273860812,phase1
0.0136256283149123,0.0560664571821689,0.0807262286543846,0.0110307745635509,0.0153706558048725,0.0721827521920204,0.0990304872393608,0.0111897476017475,phase1
0.0136170024052262,0.056166686117649,0.0808225497603416,0.0110481297597289,0.014991495758295,0.0706260204315185,0.0969080999493599,0.0111556034535169,phase1
0.0135505972430109,0.0562002845108509,0.0807495862245559,0.0110004851594567,0.015274797566235,0.0708481147885322,0.0978482589125633,0.0111188171431422,phase1
0.0135023733600974,0.0564147494733333,0.0809259712696075,0.0110112261027097,0.0149612491950392,0.0684196203947067,0.0944777429103851,0.011050415225327,phase1
0.0133477672934532,0.0550087317824363,0.0792533010244369,0.0108932759612798,0.0148915881291031,0.0769693925976753,0.1035782992839813,0.0112285185605287,phase1
0.0132500091567635,0.0554641298949718,0.0796371102333068,0.0109234433621168,0.0152331413701176,0.0712117552757263,0.0965808779001236,0.0110774943605065,phase1
0.0132805639877915,0.0545561052858829,0.0787839666008949,0.0109525164589285,0.0150282643735408,0.0745154172182083,0.0984312072396278,0.0110006500035524,phase1
0.0132093178108334,0.0554415434598922,0.0795352160930633,0.0108868088573217,0.0148702505975961,0.0715957805514335,0.0977406874299049,0.0109670786187052,phase1
0.013013101182878,0.0542333014309406,0.0780636519193649,0.0108289429917931,0.0147474594414234,0.0718625783920288,0.0975292399525642,0.0110020050778985,phase1
0.0129694109782576,0.0545797795057296,0.0783730521798133,0.0108242658898234,0.014787190593779,0.0691520646214485,0.0952167958021164,0.0108876824378967,phase1
0.0129353813827037,0.0539392679929733,0.0776420906186103,0.0107709439471364,0.0146514168009161,0.0722076073288917,0.0975507125258445,0.0108665870502591,phase1
0.0128489704802632,0.054086472839117,0.0777133330702781,0.0107813877984881,0.0144054256379604,0.0695466473698616,0.0950043052434921,0.0109144253656268,phase1
0.0127959875389933,0.0532702766358852,0.0767713412642479,0.0107060633599758,0.0143530508503317,0.070806011557579,0.0960811600089073,0.010813265107572,phase1
0.0127169964835047,0.0529512353241443,0.0763948485255241,0.0107216462492942,0.0148157915100455,0.0728622451424598,0.0955571606755256,0.0109092807397246,phase1
0.0127666415646672,0.0525230132043361,0.0759705901145935,0.0106738051399588,0.0145922508090734,0.0685649886727333,0.0945426821708679,0.0109204836189746,phase1
0.0126659544184803,0.0529015325009822,0.0762239620089531,0.0106679555028676,0.0151105737313628,0.0752912759780883,0.0987332910299301,0.0110110146924853,phase1
0.0127463955432176,0.0527368523180484,0.0761307626962661,0.0106423050165176,0.0141939772292971,0.0714465901255607,0.0969006717205047,0.0105961086228489,phase1
0.0125273596495389,0.0527576468884944,0.0758980810642242,0.0106169236823916,0.0141250090673565,0.0724904164671897,0.0949070081114769,0.0108062764629721,phase1
0.0125501360744237,0.05208445712924,0.0752301812171936,0.0106034697964787,0.0140536092221736,0.0685629472136497,0.0939967706799507,0.0106505891308188,phase1
0.0202264618128538,0.1106055676937103,0.1439916640520095,0.01313132699579,0.0160238519310951,0.0818332508206367,0.1098636910319328,0.0113943219184875,phase2
0.0169373266398906,0.0780804380774498,0.1072304844856262,0.0122117279097437,0.0153724392876029,0.0787785649299621,0.1056930497288703,0.0111446529626846,phase2
0.0157166924327611,0.0707313939929008,0.0982564389705658,0.0118073001503944,0.0157116670161485,0.0837347358465194,0.1073300242424011,0.0112507157027721,phase2
0.0148523431271314,0.065520204603672,0.0919226482510566,0.0115377139300107,0.015038888901472,0.0764916241168975,0.1031452417373657,0.0110457930713891,phase2
0.014243034645915,0.062272373586893,0.0878665223717689,0.0113447671756148,0.0146890319883823,0.0743778720498085,0.0989375635981559,0.0108810570091009,phase2
0.0136310849338769,0.0594640895724296,0.0842924416065216,0.011193549260497,0.0141616482287645,0.0727668106555938,0.0970218703150749,0.0108706839382648,phase2
0.0133326631039381,0.0587211549282074,0.0831258296966552,0.0110735073685646,0.0141464537009596,0.0773742571473121,0.1029597222805023,0.0109040988609194,phase2
0.0129562774673104,0.0562512315809726,0.0801550671458244,0.0109434276819229,0.0138856852427124,0.0724670812487602,0.0973833799362182,0.0108534544706344,phase2
0.0125024309381842,0.054367359727621,0.077622652053833,0.0107546234503388,0.013719861395657,0.0793895348906517,0.1017678156495094,0.010853748768568,phase2
0.0122996941208839,0.0537268109619617,0.0767009258270263,0.0106704924255609,0.0137463957071304,0.0788286849856376,0.1007771044969558,0.0107075478881597,phase2
0.0121231107041239,0.0526765100657939,0.0754142999649047,0.0106135830283164,0.013216795399785,0.073541484773159,0.0978178828954696,0.0105523327365517,phase2
0.0118522327393293,0.0524486117064952,0.0748295560479164,0.0105293774977326,0.0131570091471076,0.0717508941888809,0.0956913456320762,0.0105779729783535,phase2
0.0114173237234354,0.0507116429507732,0.0725219622254371,0.0103939613327384,0.0129604618996381,0.0707199275493621,0.0944382548332214,0.0105042206123471,phase2
0.0114185586571693,0.0505680292844772,0.0723689123988151,0.0103812860324978,0.0125979557633399,0.0687108784914016,0.0922699868679046,0.0103795640170574,phase2
0.011119938455522,0.049866996705532,0.0712205469608306,0.0102356178686022,0.0126486420631408,0.0670051053166389,0.090337298810482,0.0102245099842548,phase2
0.0109862657263875,0.0494572594761848,0.0706419646739959,0.0102070793509483,0.0125434501096606,0.0661679729819297,0.0890890210866928,0.0102409208193421,phase2
0.01078487560153,0.0485549196600914,0.0694848075509071,0.0101378224790096,0.01235540676862,0.0656814277172088,0.0887482091784477,0.010224531404674,phase2
0.0106650115922093,0.0477688163518905,0.068498745560646,0.0100586153566837,0.0123896105214953,0.06561029702425,0.0883598402142524,0.0101367319002747,phase2
0.0105813387781381,0.0472720004618167,0.0678551644086837,0.0100075621157884,0.0127735743299126,0.0674491450190544,0.0903552696108818,0.0102063659578561,phase2
0.0103796431794762,0.0469000339508056,0.0672328770160675,0.0099525973200798,0.0125266388058662,0.0674809738993644,0.0904755517840385,0.0101646818220615,phase2
